[2026-06-13 19:29:27] INFO     | ================================================================================
[2026-06-13 19:29:27] INFO     | 🚀 PyPI Package Update Checker (Multiprocessing Enabled)
[2026-06-13 19:29:27] INFO     | ================================================================================
[2026-06-13 19:29:27] INFO     | 📁 No existing state file. Starting fresh.
[2026-06-13 19:29:36] INFO     | ✓ Found 500 installed packages
[2026-06-13 19:29:36] INFO     | 📊 Status: 0 checked, 500 pending
[2026-06-13 19:29:36] INFO     | 🔄 Spawning 4 workers to query PyPI...
[2026-06-13 19:35:16] DEBUG    | ✓ up-to-date         | textual-serve                  1.1.3 → 1.1.3
[2026-06-13 19:35:18] DEBUG    | ✓ up-to-date         | importlib_resources            7.1.0 → 7.1.0
[2026-06-13 19:35:19] DEBUG    | ✓ up-to-date         | charset-normalizer             3.4.7 → 3.4.7
[2026-06-13 19:35:20] DEBUG    | 🔄 upgradable         | tifffile                       2026.5.2 → 2026.6.1
[2026-06-13 19:35:21] DEBUG    | ✓ up-to-date         | imread                         1.4.7 → 0.7.6
[2026-06-13 19:35:21] DEBUG    | ✓ up-to-date         | claude-json-to-markdown        0.2.0 → 0.2.0
[2026-06-13 19:35:21] DEBUG    | ✓ up-to-date         | pybtex-docutils                1.0.3 → 1.0.3
[2026-06-13 19:35:27] DEBUG    | ✓ up-to-date         | click                          8.4.1 → 8.4.1
[2026-06-13 19:35:27] DEBUG    | 🔄 upgradable         | tiktoken                       0.12.0 → 0.13.0
[2026-06-13 19:35:29] DEBUG    | 🔄 upgradable         | inflate64                      0.0.0 → 1.0.4
[2026-06-13 19:35:30] DEBUG    | ✓ up-to-date         | tinycss2                       1.5.1 → 1.5.1
[2026-06-13 19:35:36] DEBUG    | ✓ up-to-date         | iniconfig                      2.3.0 → 2.3.0
[2026-06-13 19:35:37] DEBUG    | ✓ up-to-date         | tinyhtml5                      2.1.0 → 2.1.0
[2026-06-13 19:35:38] DEBUG    | ✓ up-to-date         | pycares                        5.0.1 → 5.0.1
[2026-06-13 19:35:38] DEBUG    | ✓ up-to-date         | cmake                          4.3.2 → 4.3.2
[2026-06-13 19:35:40] DEBUG    | 🔄 upgradable         | ipython                        9.13.0 → 9.14.1
[2026-06-13 19:35:42] DEBUG    | ✓ up-to-date         | code-to-prompt-cli             0.2.3 → 0.2.3
[2026-06-13 19:35:42] DEBUG    | ✓ up-to-date         | pycld2                         0.42 → 0.42
[2026-06-13 19:35:43] DEBUG    | ✓ up-to-date         | tld                            0.13.2 → 0.13.2
[2026-06-13 19:35:44] DEBUG    | ✓ up-to-date         | ipython-genutils               0.2.0 → 0.2.0
[2026-06-13 19:35:45] DEBUG    | 🔄 upgradable         | colorama                       0.4.4 → 0.4.6
[2026-06-13 19:35:45] DEBUG    | 🔄 upgradable         | tldp                           0.7.5 → 0.7.13
[2026-06-13 19:35:45] DEBUG    | ✓ up-to-date         | pyclipper                      1.4.0 → 1.4.0
[2026-06-13 19:35:45] DEBUG    | ✓ up-to-date         | ipython_pygments_lexers        1.1.1 → 1.1.1
[2026-06-13 19:35:45] DEBUG    | ✓ up-to-date         | tls_client                     1.0.1 → 1.0.1
[2026-06-13 19:35:46] DEBUG    | ✓ up-to-date         | pycmd                          1.2 → 1.2
[2026-06-13 19:35:46] DEBUG    | ✓ up-to-date         | compreffor                     1.4.7 → 0.6.0
[2026-06-13 19:35:48] DEBUG    | ✓ up-to-date         | tokenize_rt                    6.2.0 → 6.2.0
